okres;orp;pohlavi;vek_kat;komplikovany;jip;kyslik;upv;ecmo;delka_hosp;stav;pocet_pac
CZ0643;6414;Z;20-64;;;1;0;0;2 dny;Propuštěn;1
CZ0802;9999;Z;65+;;;0;0;0;3-7 dní;Propuštěn;2
CZ0525;5203;Z;20-64;;;0;0;0;8-14 dní;Propuštěn;2
CZ0712;7112;M;65+;1;;1;0;0;8-14 dní;Propuštěn;1
CZ0201;2025;Z;65+;;;1;0;0;3-7 dní;Zemřel;7
CZ0522;5204;M;20-64;1;;1;0;0;8-14 dní;Hospitalizován;1
CZ0647;9999;M;20-64;;;0;0;0;3-7 dní;Propuštěn;1
CZ0323;3209;M;20-64;;1;1;0;0;15+ dní;Propuštěn;3
CZ0631;6304;M;65+;;;1;0;0;8-14 dní;Zemřel;2
CZ0646;6419;Z;65+;;;1;0;0;8-14 dní;Hospitalizován;4
CZ0522;5207;M;65+;;;0;0;0;3-7 dní;Propuštěn;7
CZ0801;8014;Z;65+;;;1;0;0;1 den;Zemřel;1
CZ0805;8009;M;65+;;;0;0;0;3-7 dní;Propuštěn;8
CZ0712;7112;Z;20-64;;1;1;0;0;8-14 dní;Propuštěn;1
CZ020B;2020;M;65+;1;;1;0;0;8-14 dní;Zemřel;8
CZ0208;2019;Z;20-64;;;1;0;0;1 den;Propuštěn;1
CZ0802;8021;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;19
CZ0327;3215;Z;20-64;1;1;1;1;0;15+ dní;Propuštěn;1
CZ0524;5202;M;65+;1;1;0;1;0;15+ dní;Zemřel;2
CZ0421;4212;M;65+;;;1;0;0;8-14 dní;Zemřel;3
CZ0632;6305;Z;65+;;1;1;0;0;8-14 dní;Zemřel;2
CZ0641;6401;M;20-64;;;0;0;0;2 dny;Zemřel;1
CZ0635;6308;Z;65+;;;0;0;0;15+ dní;Propuštěn;1
CZ0412;4103;Z;20-64;;;0;0;0;15+ dní;Propuštěn;2
